Filename,Filepath,Meets Inclusion,RQ1 Score,RQ2 Score,RQ3 Score,Implementation Quality,Overall Score,Recommendation,Healthcare Domain,AI Techniques,Summary
A Novel Application for the Efficient and Accessible Diagnosis of ADHD Using Machine Learning -Extended Abstract-.pdf,papers\A Novel Application for the Efficient and Accessible Diagnosis of ADHD Using Machine Learning -Extended Abstract-.pdf,True,95,90,85,90,92,Include,Neurodevelopmental Disorders,"Machine Learning, Voting Ensemble Classification","This research introduces a novel machine learning approach to diagnose ADHD by analyzing pupil-dynamics data, offering a more accessible and efficient diagnostic tool. The study developed a voting ensemble classification algorithm to analyze pupillometric features, achieving significant sensitivity, specificity, and AUROC metrics. The model was deployed in a web application, marking a pioneering use of pupil-size dynamics for ADHD diagnosis."
Enhanced Qwen-VL 7B Model via Instruction Finetuning on Chinese Medical Dataset.pdf,papers\Enhanced Qwen-VL 7B Model via Instruction Finetuning on Chinese Medical Dataset.pdf,True,90,85,80,85,85,Include,Medical Question-Answering Systems,"Large Vision-Language Model, Fine-tuning","This study develops a medical-specific question-answering model using the Qwen-VL 7B model, an advanced Large Vision-Language Model, tailored for the medical domain. It focuses on adapting the model to understand and process medical terminology and visual data, such as X-rays and MRI scans, to enhance medical information access and support diagnostic decisions."
Explainable AI in Decision Support Systems  A Case Study Predicting Hospital Readmission Within 30 Days of Discharge.pdf,papers\Explainable AI in Decision Support Systems  A Case Study Predicting Hospital Readmission Within 30 Days of Discharge.pdf,True,90,85,80,85,85,Include,Hospital Readmission,"Logistic Regression, Lasso Regularization","This study develops and compares two models for predicting hospital readmission within 30 days: a baseline logistic regression model and a lasso regularized model. It emphasizes the importance of explainability in AI models for healthcare, achieving improved performance with the lasso model."
HealthBot Analytics Optimizing Healthcare Efficiency Through Intelligent Integration.pdf,papers\HealthBot Analytics Optimizing Healthcare Efficiency Through Intelligent Integration.pdf,False,60,50,40,0,50,Exclude,General Healthcare Information and Assistance,"NLP, Machine Learning, SVM, TF-IDF, Naive Bayes Classifier, KNN","The paper discusses the development and potential of a Medical Health Care Chatbot, leveraging NLP and machine learning to provide personalized medical assistance and information retrieval. It aims to improve healthcare outcomes and efficiency by offering 24/7 access to reliable medical guidance."
Immersive Health Monitoring Harnessing Virtual Reality for Advanced Healthcare Solutions.pdf,papers\Immersive Health Monitoring Harnessing Virtual Reality for Advanced Healthcare Solutions.pdf,False,40,30,20,20,25,Exclude,General Healthcare,Machine Learning,"This paper explores the transformative potential of virtual reality (VR) in healthcare, highlighting its growing use in medical therapy, rehabilitation, education, and patient care. It discusses the benefits of VR for both patients and healthcare professionals, including applications in pain management, medical training, and mental health treatment. The paper also touches on the integration of VR with machine learning for health monitoring."
Research Status and Prospects of Deep Learning in Medical Images.pdf,papers\Research Status and Prospects of Deep Learning in Medical Images.pdf,False,40,20,10,0,20,Exclude,Medical Imaging,"Deep Learning, CNN, RNN, AE, DBN","This paper provides an overview of deep learning methods in medical imaging, discussing the theoretical background, applications in image classification, segmentation, and computer-aided diagnosis. It highlights the potential of deep learning in processing medical images but does not detail specific practical implementations."
Biomedical Devices Development - Performance in Healthcare System.pdf,papers\Biomedical Devices Development - Performance in Healthcare System.pdf,False,10,0,5,0,5,Exclude,General healthcare and biomedical devices,,"This paper provides an overview of the development and significance of biomedical devices in healthcare, tracing their history and discussing the role of engineering and materials science in creating innovative solutions for diagnosis, treatment, and monitoring. It briefly mentions the integration of AI and machine learning for predictive analytics but does not focus on AI implementation details or its impact on healthcare."
A Systematic Review on Machine Learning -ML- and Artificial Intelligence -AI- in Understanding and Assessing Women-s Health.pdf,papers\A Systematic Review on Machine Learning -ML- and Artificial Intelligence -AI- in Understanding and Assessing Women-s Health.pdf,False,0,0,0,0,0,Exclude,"Women's health, specifically mental health and depression",,"This paper is a systematic review that explores the use of AI and ML in understanding and assessing women's health, with a focus on depression. It synthesizes existing research on the accuracy of AI/ML in risk classification and discusses the potential of these technologies to advance interventions in women's health."
Healthcare Software and Technology Integration.pdf,papers\Healthcare Software and Technology Integration.pdf,False,0,0,0,0,0,Exclude,,,The content is unreadable and cannot be summarized.
Semantic Inference on Clinical Documents Combining Machine Learning Algorithms With an Inference Engine for Effective Clinical Diagnosis and Treatment.pdf,papers\Semantic Inference on Clinical Documents Combining Machine Learning Algorithms With an Inference Engine for Effective Clinical Diagnosis and Treatment.pdf,False,0,0,0,0,0,Exclude,Clinical Diagnosis and Treatment,"Machine Learning, Semantic Inference",This paper discusses the integration of Clinical Decision Support Systems (CDSS) with Health Information Systems (HIS) to improve clinical diagnosis and treatment by addressing challenges such as data complexity and information incompatibility. It proposes a system that uses machine learning algorithms and an inference engine for semantic inference on clinical documents to enhance the accuracy of clinical diagnosis and treatment strategies.
